ts,chain,address,symbol,binance_symbol,binance_base_asset,binance_match_type,label,pump_score,dump_score,anomaly_score,smart_money_score,risk_score,reasons
2026-04-25T18:25:57+00:00,arbitrum,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,WBTC,,,,dump_risk,5.23,68.34,44.32,0.0,0.0,whale_distribution
2026-04-25T18:25:57+00:00,arbitrum,0x6eb5c25ef5dd5c182fb4e009dfcd589319dd3996,ABTXYZ,,,,watch,46.4,24.5,61.7,0.0,0.0,liquidity_drop
2026-04-25T18:25:57+00:00,avalanche,0x420fca0121dc28039145009570975747295f2329,COQ,,,,watch,30.0,1.98,33.08,0.0,0.0,normal_watch
2026-04-25T18:25:57+00:00,arbitrum,0x912ce59144191c1204e64559fe8253a0e49e6548,ARB,,,,watch,8.97,23.15,27.09,0.0,0.0,normal_watch
2026-04-25T18:25:57+00:00,arbitrum,0x092baadb7def4c3981454dd9c0a0d7ff07bcfc86,MOR,,,,watch,20.66,0.05,14.87,11.74,0.0,buy_pressure
2026-04-25T18:25:57+00:00,avalanche,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,AUSD,,,,watch,19.19,0.0,17.08,6.29,0.0,normal_watch
2026-04-25T18:25:57+00:00,arbitrum,0x0c1c1c109fe34733fca54b82d7b46b75cfb71f6e,CHIP,,,,watch,6.01,4.04,10.24,0.0,0.0,normal_watch
2026-04-25T18:25:57+00:00,avalanche,0x152b9d0fdc40c096757f570a51e494bd4b943e50,BTC.b,,,,watch,8.59,0.23,10.01,0.0,0.0,normal_watch
2026-04-25T18:25:57+00:00,avalanche,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,,,,watch,8.08,0.1,9.24,0.0,0.0,normal_watch
2026-04-25T18:25:57+00:00,arbitrum,0xaf88d065e77c8cc2239327c5edb3a432268e5831,USDC,,,,watch,8.0,0.15,9.15,0.0,0.0,normal_watch
2026-04-25T18:25:57+00:00,arbitrum,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,,,,watch,7.3,0.21,8.49,0.0,0.0,normal_watch
2026-04-25T18:25:57+00:00,avalanche,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,WETH.e,,,,watch,6.91,0.17,8.05,0.0,0.0,normal_watch
2026-04-25T18:25:57+00:00,arbitrum,0x7f9fbf9bdd3f4105c478b996b648fe6e828a1e98,APE,,,,watch,1.99,4.54,6.16,0.0,0.0,normal_watch
2026-04-25T18:25:57+00:00,arbitrum,0x6985884c4392d348587b19cb9eaaf157f13271cd,ZRO,,,,watch,1.88,1.21,3.35,0.0,0.0,normal_watch
2026-04-25T18:25:57+00:00,arbitrum,0x4186bfc76e2e237523cbc30fd220fe055156b41f,rsETH,,,,watch,0.0,3.0,0.0,0.0,12.0,risk:thin_liquidity
2026-04-25T18:25:57+00:00,arbitrum,0xbdf8c7b8371557b78428032a54965fc52ad98685,ORMBLG,,,,watch,0.0,3.0,0.0,0.0,12.0,risk:thin_liquidity
2026-04-25T18:25:57+00:00,arbitrum,0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8,aArbWETH,,,,watch,0.22,0.22,0.49,0.0,0.0,normal_watch
