ts,chain,address,symbol,binance_symbol,binance_base_asset,binance_match_type,label,pump_score,dump_score,anomaly_score,smart_money_score,risk_score,reasons
2026-04-25T16:00:58+00:00,ethereum,0x1bc1b348b74ca720171fa8fb392952c19f6293e0,POPSHIBA,,,,anomaly_watch,57.25,6.25,100.0,0.0,25.0,sudden_rise_price_plus_volume;risk:freeze_authority;ml_isolation_forest_anomaly
2026-04-25T16:00:58+00:00,ethereum,0x0b212a593a10d99769f8326468cdec51b34946d7,POPCAT,,,,watch,57.25,6.25,65.0,0.0,25.0,sudden_rise_price_plus_volume;risk:freeze_authority
2026-04-25T16:00:58+00:00,ethereum,0xf0daf52d210ee9b596fc16c8bfe1732d9b576781,uPEGR,,,,watch,48.51,6.25,65.0,0.0,25.0,sudden_rise_price_plus_volume;risk:freeze_authority
2026-04-25T16:00:58+00:00,ethereum,0x44b28991b167582f18ba0259e0173176ca125505,uPEG,,,,watch,42.44,6.25,62.96,0.0,25.0,sudden_rise_price_plus_volume;risk:freeze_authority
2026-04-25T16:00:58+00:00,ethereum,0xe6dbd77978bb0fccc541e35ecc2f8619f51954d2,X Tracker,,,,watch,17.14,9.25,58.22,0.0,37.0,risk:freeze_authority;risk:thin_liquidity
2026-04-25T16:00:58+00:00,ethereum,0x8b922a186a620408e65e443a1e83b6d187224634,KIRA,,,,watch,17.05,26.74,57.2,0.0,37.0,risk:freeze_authority;risk:thin_liquidity
2026-04-25T16:00:58+00:00,ethereum,0x69e4f1d84dd63e58423dfc198725e46e43689980,EXIST,,,,watch,21.25,21.9,54.35,0.0,25.0,risk:freeze_authority
2026-04-25T16:00:58+00:00,ethereum,0x6931a6c244bea3f1cafe2506cecec5aaaa8265b1,X Tracker,,,,watch,17.05,24.2,53.25,0.0,37.0,risk:freeze_authority;risk:thin_liquidity
2026-04-25T16:00:58+00:00,ethereum,0xf280b16ef293d8e534e370794ef26bf312694126,ASTEROID,,,,watch,11.84,6.25,42.47,0.0,25.0,risk:freeze_authority
2026-04-25T16:00:58+00:00,ethereum,0x23b9ccb78d8c147c1c18b41e8a313ea0bfa962ce,E,,,,watch,21.25,6.99,39.92,0.0,25.0,risk:freeze_authority
2026-04-25T16:00:58+00:00,ethereum,0xaff2565091e7207191dbe340b8528d02fa78d044,ASTEROID,,,,watch,2.33,11.67,38.06,0.0,25.0,risk:freeze_authority
2026-04-25T16:00:58+00:00,ethereum,0xb3a0f70c913aa04404bd177be9e20b47613830b6,AIB,,,,watch,8.6,12.5,31.55,0.0,25.0,risk:freeze_authority
2026-04-25T16:00:58+00:00,ethereum,0xa1fed187a45eccea7a7d1dacb6be96084a883feb,POOKIE,,,,watch,21.25,6.25,30.0,0.0,25.0,risk:freeze_authority
2026-04-25T16:00:58+00:00,ethereum,0xce82213c4bae42e1c04880ea64a53eef73e195de,FLORK,,,,watch,12.04,7.81,29.16,0.0,25.0,risk:freeze_authority
2026-04-25T16:00:58+00:00,ethereum,0xc7e4254a72169fdf7a2e080462724f2f642daf7e,ELIEN,,,,watch,0.0,19.75,28.57,0.0,25.0,risk:freeze_authority
2026-04-25T16:00:58+00:00,ethereum,0xdfa208bb0b811cfbb5fa3ea98ec37aa86180e668,w🍖,,,,watch,0.0,17.37,28.46,0.0,25.0,risk:freeze_authority
2026-04-25T16:00:58+00:00,ethereum,0x249130f5e2dd4cf278180c0df8273f3592ad1247,dmt-nat,,,,watch,0.75,11.31,17.48,0.0,25.0,risk:freeze_authority
2026-04-25T16:00:58+00:00,ethereum,0x4d224452801aced8b2f0aebe155379bb5d594381,APE,,,,watch,0.0,10.95,13.58,0.0,25.0,risk:freeze_authority
2026-04-25T16:00:58+00:00,ethereum,0xd8a271974e8edae9d7b58e3370dc1669427503f4,BLEND,,,,watch,0.0,6.25,8.31,0.0,25.0,risk:freeze_authority
2026-04-25T16:00:58+00:00,ethereum,0x8de39b057cc6522230ab19c0205080a8663331ef,wojak,,,,watch,0.0,6.77,5.6,0.0,25.0,risk:freeze_authority
